Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
3/17/02,30-011,LAL,,DAL,W,1,41:54:00,41,13,18,0.722,0,0,0,2,6,0.333,4,5,9,4,0,1,2,3,28,23.6,5
3/19/02,30-013,LAL,@,DAL,L,1,37:56:00,37,13,23,0.565,0,0,0,6,9,0.667,5,5,10,2,0,0,5,4,32,19.7,-2
3/20/02,30-014,LAL,@,SAS,L,1,29:35:00,29,2,10,0.2,0,0,0,13,19,0.684,2,8,10,0,0,4,2,2,17,12.2,-26
3/22/02,30-016,LAL,,DET,W,1,37:43:00,37,11,18,0.611,0,0,0,6,12,0.5,1,6,7,4,2,0,5,4,28,18.1,14
3/24/02,30-018,LAL,@,SAC,W,1,35:58:00,35,8,9,0.889,0,0,0,5,6,0.833,1,6,7,6,0,0,4,6,21,17.8,6
3/26/02,30-020,LAL,,CLE,W,1,24:52:00,24,8,9,0.889,0,0,0,3,7,0.429,1,7,8,2,0,0,1,2,19,16.7,12
3/27/02,30-021,LAL,@,PHO,L,1,40:25:00,40,10,21,0.476,0,0,0,4,15,0.267,4,7,11,2,0,3,1,4,24,14.7,-13
3/29/02,30-023,LAL,,POR,W,1,39:35:00,39,13,19,0.684,0,0,0,8,13,0.615,6,8,14,2,1,1,3,2,34,29.8,19
3/31/02,30-025,LAL,,SAS,W,1,42:09:00,42,8,19,0.421,0,0,0,8,9,0.889,3,6,9,1,1,5,3,5,24,17.6,1
4/2/02,30-027,LAL,@,WAS,W,1,30:41:00,30,7,18,0.389,0,0,0,8,12,0.667,6,12,18,4,0,3,2,1,22,20.9,34
4/7/02,30-032,LAL,@,MIA,W,1,41:18:00,41,14,22,0.636,0,0,0,12,19,0.632,3,8,11,2,0,2,2,4,40,31.1,10
4/9/02,30-034,LAL,,UTA,W,1,24:31:00,24,8,14,0.571,0,0,0,6,7,0.857,1,2,3,2,1,2,1,3,22,17.9,-1
4/11/02,30-036,LAL,,MIN,W,1,38:56:00,38,13,19,0.684,0,0,0,6,10,0.6,2,7,9,3,1,1,4,4,32,24,17
4/14/02,30-039,LAL,@,POR,L,1,49:11:00,49,13,26,0.5,0,0,0,10,13,0.769,5,6,11,3,0,0,3,2,36,25.4,-4
4/15/02,30-040,LAL,,SEA,W,1,33:26:00,33,16,21,0.762,0,0,0,9,11,0.818,2,9,11,4,0,0,3,3,41,34.6,24
4/17/02,30-042,LAL,,SAC,W,1,28:30:00,28,9,18,0.5,0,0,0,3,5,0.6,5,4,9,3,3,0,0,2,21,20.2,12
